pais_destino,Atraccion,categoria,turistas_anuales,rating,mejor_estacion,descripcion
AUSTRIA,Palacio Hofburg,"""palacio, historia, museo, cultura""",3000000,4.5,Todo el año,"""El antiguo palacio imperial de Viena, hogar de los Habsburgo, que alberga la Escuela Española de Equitación."""
AUSTRIA,Museo Albertina,"""museo, arte, cultura""",1000000,4.7,Todo el año,"""Famoso museo en Viena con una de las colecciones de obras gráficas más grandes del mundo."""
AUSTRIA,Grossglockner High Alpine Road,"""naturaleza, montaña, aventura, carretera escénica""",900000,4.8,Verano,"""Carretera alpina panorámica que atraviesa el Parque Nacional Hohe Tauern, ofreciendo vistas del pico más alto."""
AUSTRIA,Museo Casa Natal de Mozart (Salzburgo),"""museo, cultura, historia""",450000,4.4,Todo el año,"""La casa donde nació Wolfgang Amadeus Mozart, convertida en un museo sobre su vida y obra."""
AUSTRIA,Palacio y Jardines Mirabell,"""palacio, jardín, arquitectura, ocio""",2000000,4.3,Primavera,"""Palacio declarado Patrimonio de la Humanidad en Salzburgo, famoso por sus jardines barrocos."""
AUSTRIA,Zell am See,"""ciudad, naturaleza, montaña, relax""",1200000,4.6,Verano,"""Centro turístico alpino junto a un lago cristalino, ideal para senderismo, deportes acuáticos y esquí."""
BÉLGICA,Grand Place (Bruselas),"""patrimonio unesco, arquitectura, historia, ciudad""",5000000,4.9,Todo el año,"""La plaza central de Bruselas, Patrimonio de la UNESCO, rodeada de edificios gremiales y el Ayuntamiento gótico."""
BÉLGICA,Canales de Brujas,"""ciudad, pueblo, medieval, arquitectura, relax""",8000000,4.8,Primavera,"""La red de canales que atraviesa el centro histórico de Brujas, a menudo llamada la 'Venecia del Norte'."""
BÉLGICA,Atomium (Bruselas),"""arquitectura, monumento, ocio, ciudad""",1000000,4.5,Todo el año,"""Estructura icónica construida para la Expo '58, que representa un cristal de hierro ampliado 165 mil millones de veces."""
BÉLGICA,Catedral de San Bavón (Gante),"""religion, arte, arquitectura, gótico""",600.000,4.6,Todo el año,"""Catedral de Gante famosa por albergar el retablo flamenco 'La Adoración del Cordero Místico'."""
BÉLGICA,Plaza Mayor de Amberes,"""arquitectura, historia, ciudad, renacimiento""",4000000,4.7,Todo el año,"""El corazón del casco antiguo de Amberes, famoso por sus casas gremiales y la Fuente de Brabo."""
BÉLGICA,Manneken Pis (Bruselas),"""monumento, cultura, símbolo, ciudad""",1500000,4.2,Todo el año,"""Pequeña estatua de bronce de un niño orinando, símbolo del espíritu rebelde de Bruselas."""
BÉLGICA,Bosques de Soignes,"""naturaleza, bosque, relax, ciudad""",2000000,4.5,Otoño,"""Gran bosque al sur de Bruselas, popular para el senderismo, el ciclismo y el escape natural."""
BÉLGICA,Museo Horta (Bruselas),"""museo, arte, arquitectura""",80000,4.8,Todo el año,"""Casa y taller del arquitecto Victor Horta, Patrimonio de la UNESCO y joya del Art Nouveau belga."""
BÉLGICA,Campanario de Brujas (Belfort),"""monumento, historia, medieval, arquitectura""",600000,4.4,Todo el año,"""Torre medieval en el centro de Brujas, que ofrece vistas panorámicas de la ciudad."""
BÉLGICA,Cuevas de Han,"""cueva, naturaleza, aventura, geología""",400000,4.6,Verano,"""Una de las cuevas más grandes y bellas de Europa, parte de la Reserva Natural de Han-sur-Lesse."""
BULGARIA,Monasterio de Rila,"""religion, arquitectura, patrimonio unesco, historia, montaña""",1000000,4.9,Todo el año,"""El centro espiritual y cultural más grande del país, famoso por sus arcos a rayas y frescos."""
BULGARIA,Catedral Alexander Nevski (Sofía),"""religion, arquitectura, monumento, ciudad""",2000000,4.7,Todo el año,"""La catedral más icónica de Sofía y una de las más grandes del mundo ortodoxo, de estilo neobizantino."""
BULGARIA,Siete Lagos de Rila,"""naturaleza, montaña, lago, aventura""",500000,4.8,Verano,"""Un conjunto de lagos glaciares escalonados en las montañas, ideal para senderismo alpino."""
BULGARIA,Antiguo Teatro Romano de Plovdiv,"""historia, ruina, arqueología, ciudad""",700000,4.5,Primavera,"""Uno de los teatros romanos mejor conservados del mundo, todavía utilizado para espectáculos en la ciudad más antigua de Bulgaria."""
BULGARIA,Fortaleza de Tsarevets (Veliko Tarnovo),"""castillo, historia, medieval, ruina""",600000,4.6,Primavera,"""La fortaleza medieval que fue el hogar de los zares durante el Segundo Imperio Búlgaro, con vistas espectaculares."""
BULGARIA,Casco Antiguo de Nesebar,"""ciudad, pueblo, patrimonio unesco, mar negro, historia""",3000000,4.5,Verano,"""Pueblo costero en una península, famoso por sus iglesias antiguas y casas de madera, un museo viviente."""
BULGARIA,Iglesia de Boyana (Sofía),"""religion, arte, historia, patrimonio unesco""",100000,4.8,Todo el año,"""Pequeña iglesia medieval famosa por sus frescos del siglo XIII, precursores del Renacimiento europeo."""
BULGARIA,Rocas de Belogradchik,"""naturaleza, geología, formaciones rocosas, historia""",250000,4.6,Otoño,"""Espectaculares formaciones rocosas de piedra arenisca que rodean una fortaleza medieval del mismo nombre."""
BULGARIA,Valle de las Rosas (Kazanlak),"""naturaleza, cultura, gastronomia""",350000,4.5,Primavera,"""Región famosa por el cultivo de rosas oleaginosas, celebrando el Festival de la Rosa en mayo-junio."""
BULGARIA,Pueblo de Koprivshtitsa,"""pueblo, historia, arquitectura, renacimiento nacional""",200000,4.7,Primavera,"""Pueblo famoso por su arquitectura del Renacimiento Nacional Búlgaro y casas coloridas."""
CHIPRE,Roca de Afrodita (Petra tou Romiou),"""playa, leyenda, naturaleza, arqueología""",1000000,4.6,Verano,"""Lugar de nacimiento mítico de la diosa griega Afrodita, una impresionante formación rocosa frente a la costa."""
CHIPRE,Tumbas de los Reyes (Paphos),"""arqueología, ruina, historia, patrimonio unesco""",700000,4.5,Primavera,"""Una gran necrópolis subterránea que data del siglo IV a.C., excavada en roca sólida cerca de Paphos."""
CHIPRE,Parque Nacional Cabo Greco,"""naturaleza, playa, cueva, aventura, relax""",1500000,4.8,Verano,"""Un impresionante parque nacional costero con acantilados, cuevas marinas y aguas cristalinas, ideal para el buceo."""
CHIPRE,Mosaicos Romanos de Paphos,"""arqueología, historia, arte, patrimonio unesco""",500000,4.7,Todo el año,"""Una de las colecciones de mosaicos romanos más finas y extensas del Mediterráneo, ubicadas en el Parque Arqueológico de Paphos."""
CHIPRE,Castillo de Kolossi,"""castillo, historia, medieval, arquitectura""",250000,4.3,Primavera,"""Impresionante fortaleza medieval ligada a las Cruzadas y a la orden de los Caballeros de San Juan."""
CHIPRE,Montes Troodos y Monte Olimpo,"""naturaleza, montaña, bosque, religion""",800000,4.6,Todo el año,"""La cadena montañosa más grande de Chipre, ideal para hacer senderismo y esquiar en invierno, con monasterios escondidos."""
CHIPRE,Playa de Nissi (Ayia Napa),"""playa, ocio, vida nocturna, arena blanca""",2000000,4.5,Verano,"""Una de las playas más famosas de Chipre, conocida por su arena blanca, aguas poco profundas y vibrante ambiente."""
CHIPRE,Sitio Arqueológico de Kourion,"""arqueología, ruina, historia, teatro""",400000,4.4,Primavera,"""Antigua ciudad-estado de Kourion, famosa por su gran teatro romano con vistas al mar."""
CHIPRE,Monasterio de Kykkos,"""religion, arquitectura, montaña, cultura""",600000,4.7,Todo el año,"""El monasterio más rico y famoso de Chipre, dedicado a la Virgen María, ubicado en los Montes Troodos."""
CHIPRE,Larnaca Salt Lake,"""naturaleza, relax, fauna, ciudad""",100000,4.3,Invierno,"""Lago salado famoso por atraer flamencos rosados durante los meses de invierno, ubicado cerca de la mezquita Hala Sultan Tekke."""
CROACIA,Parque Nacional Lagos de Plitvice,"""naturaleza, parque natural, lago, bosque, patrimonio unesco""",1800000,4.9,Primavera,"""Famoso parque nacional con 16 lagos interconectados por cascadas, rodeados de denso bosque."""
CROACIA,Murallas de Dubrovnik,"""ciudad, medieval, historia, arquitectura, patrimonio unesco""",1500000,4.8,Primavera,"""Impresionantes murallas medievales que rodean la Ciudad Vieja de Dubrovnik, ofreciendo vistas panorámicas del Adriático."""
CROACIA,Palacio de Diocleciano (Split),"""arquitectura, ruina, historia, patrimonio unesco, ciudad""",2500000,4.7,Todo el año,"""Antigua residencia imperial romana en Split que forma el corazón de la ciudad moderna, Patrimonio de la UNESCO."""
CROACIA,Catedral de Santiago (Sibenik),"""religion, arquitectura, patrimonio unesco""",300000,4.6,Todo el año,"""Obra maestra arquitectónica del Renacimiento y Gótico, famosa por su construcción íntegra en piedra sin material de unión."""
CROACIA,Parque Nacional Krka,"""naturaleza, parque natural, cascada, rio""",1200000,4.6,Verano,"""Parque nacional famoso por una serie de siete cascadas de travertino y un entorno de río tranquilo."""
CROACIA,Isla de Hvar,"""isla, playa, vida nocturna, relax, ocio""",800000,4.5,Verano,"""Isla popular en el Adriático, conocida por sus playas, campos de lavanda y animada vida nocturna."""
CROACIA,Arena de Pula,"""arqueología, ruina, historia, monumento""",500000,4.4,Todo el año,"""Anfiteatro romano excepcionalmente bien conservado en Pula, utilizado para festivales y conciertos modernos."""
CROACIA,Puerta Dorada (Zadar),"""arquitectura, historia, ciudad, atardecer""",900000,4.3,Verano,"""Famosa puerta de entrada a la ciudad vieja de Zadar, cerca del órgano marino y el saludo al sol."""
CROACIA,Riva (Paseo Marítimo de Split),"""ciudad, relax, ocio, gastronomia""",3000000,4.5,Primavera,"""El popular paseo marítimo de Split, un centro de actividad social bordeado de palmeras y cafeterías."""
CROACIA,Cuevas de Barać,"""cueva, geología, naturaleza, aventura""",150000,4.3,Verano,"""Un sistema de cuevas en la región de Karlovac, famoso por sus formaciones de estalactitas y estalagmitas."""
ESLOVAQUIA,Castillo de Spiš,"""castillo, historia, medieval, ruina, patrimonio unesco""",200000,4.8,Primavera,"""Uno de los complejos de castillos medievales más grandes de Europa Central, con impresionantes ruinas."""
ESLOVAQUIA,Altos Tatras,"""naturaleza, montaña, parque natural, aventura""",5000000,4.9,Verano,"""La cordillera más alta de los Cárpatos, con picos alpinos, lagos glaciares y extensas rutas de senderismo."""
ESLOVAQUIA,Bratislava (Casco Antiguo),"""ciudad, arquitectura, historia, cultura""",3000000,4.5,Todo el año,"""El corazón histórico y peatonal de la capital, conocido por sus calles estrechas, cafés y edificios barrocos."""
ESLOVAQUIA,Castillo de Bratislava,"""castillo, historia, arquitectura, símbolo""",800000,4.6,Todo el año,"""El castillo más importante de Eslovaquia, domina la ciudad con vistas al Danubio, reconstruido tras un incendio."""
ESLOVAQUIA,Cueva de Hielo de Dobšiná,"""cueva, naturaleza, geología, patrimonio unesco, aventura""",150000,4.7,Verano,"""Una de las cuevas de hielo más grandes y hermosas del mundo, declarada Patrimonio de la Humanidad por la UNESCO."""
ESLOVAQUIA,Pueblo de Vlkolínec,"""pueblo, arquitectura, patrimonio unesco, rural""",100000,4.7,Primavera,"""Pueblo folclórico medieval bien conservado sin cambios notables en la arquitectura, Patrimonio de la UNESCO."""
ESLOVAQUIA,Parque Nacional del Paraíso Eslovaco,"""naturaleza, parque natural, bosque, cascada, aventura""",600000,4.6,Verano,"""Famoso por sus gargantas, escaleras de cuerda y cascadas que ofrecen rutas de senderismo únicas."""
ESLOVAQUIA,Košice (Catedral de Santa Isabel),"""religion, arquitectura, gótico, ciudad""",400000,4.4,Todo el año,"""La catedral gótica más oriental de Europa, una impresionante estructura en el corazón del centro histórico de Košice."""
ESLOVAQUIA,Castillo de Bojnice,"""castillo, arquitectura, cuento de hadas, historia""",350000,4.8,Todo el año,"""Un castillo romántico de estilo cuento de hadas, a menudo utilizado para rodajes de películas y festivales."""
ESLOVAQUIA,Termas de Podhájska,"""relax, ocio, salud, aguas termales""",1000000,4.3,Verano,"""Famoso complejo termal con aguas curativas saladas, ideal para el relax y el bienestar."""
ESLOVENIA,Lago de Bled,"""naturaleza, lago, montaña, relax, arquitectura""",2000000,4.8,Verano,"""El ícono esloveno, un lago alpino con una isla y una iglesia, y un castillo medieval en un acantilado."""
ESLOVENIA,Liubliana (Casco Antiguo),"""ciudad, arquitectura, cultura, rio, ocio""",3500000,4.6,Todo el año,"""Capital verde de Europa, famosa por su castillo, sus puentes temáticos y su vibrante vida a orillas del río Ljubljanica."""
ESLOVENIA,Cueva de Postojna,"""cueva, geología, naturaleza, aventura""",900000,4.7,Todo el año,"""El sistema de cuevas más visitado de Europa, recorrido parcialmente en un tren subterráneo, famoso por el 'Proteo'."""
ESLOVENIA,Castillo de Predjama,"""castillo, historia, medieval, cueva, leyenda""",700000,4.8,Primavera,"""El castillo de cueva más grande del mundo, incrustado espectacularmente en un acantilado de 123 metros de altura."""
ESLOVENIA,Parque Nacional Triglav,"""naturaleza, montaña, parque natural, aventura, lago""",1500000,4.9,Verano,"""El único parque nacional de Eslovenia, hogar de los Alpes Julianos, el Monte Triglav y el hermoso Lago Bohinj."""
ESLOVENIA,Piran,"""ciudad, costa, arquitectura, historia, gastronomia""",1000000,4.5,Verano,"""Una pintoresca ciudad costera en el Adriático con fuerte influencia veneciana, conocida por su plaza Tartini."""
ESLOVENIA,Garganta de Vintgar,"""naturaleza, rio, cascada, aventura""",800000,4.6,Verano,"""Un impresionante desfiladero de 1.6 km de longitud con pasarelas de madera sobre el río Radovna, famoso por sus pozas y rápidos."""
ESLOVENIA,Cuevas de Škocjan,"""cueva, geología, patrimonio unesco, naturaleza""",120000,4.7,Todo el año,"""Un sistema de cuevas kársticas único en el mundo, catalogado como Patrimonio de la UNESCO, con un inmenso cañón subterráneo."""
ESLOVENIA,Lago Bohinj,"""naturaleza, lago, montaña, relax""",1000000,4.7,Verano,"""El lago natural más grande de Eslovenia, situado en el Parque Nacional Triglav, ofrece un ambiente más tranquilo que Bled."""
ESLOVENIA,Valle de Logar (Logarska Dolina),"""naturaleza, valle, montaña, rural, relax""",300000,4.5,Primavera,"""Uno de los valles glaciares más bellos de Europa, conocido por sus granjas alpinas tradicionales y la cascada Rinka."""
ESTONIA,Casco Antiguo de Tallin (Toompea),"""ciudad, medieval, historia, arquitectura, patrimonio unesco""",4500000,4.9,Todo el año,"""El corazón histórico de Tallin, una de las ciudades medievales mejor conservadas del norte de Europa, con murallas y torres."""
ESTONIA,Parque Nacional Lahemaa,"""naturaleza, parque natural, bosque, costa, relax""",800000,4.7,Verano,"""El parque nacional más grande y antiguo de Estonia, famoso por sus pantanos, costas rocosas y mansiones históricas."""
ESTONIA,Palacio de Kadriorg (Tallin),"""palacio, arte, arquitectura, historia, museo""",500000,4.6,Primavera,"""Palacio barroco encargado por Pedro el Grande, que ahora alberga una importante colección de arte y un hermoso parque."""
ESTONIA,Isla de Saaremaa,"""isla, naturaleza, pueblo, costa, historia""",600000,4.5,Verano,"""La isla más grande de Estonia, conocida por su naturaleza virgen, faros, el cráter meteórico de Kaali y la vida rural."""
ESTONIA,Museo de Ocupaciones y Libertad (Vabamu),"""museo, historia, cultura, comunismo, política""",150000,4.7,Todo el año,"""Museo en Tallin que documenta la historia de la ocupación soviética y nazi de Estonia, clave para la cultura moderna."""
ESTONIA,Castillo de Narva,"""castillo, historia, medieval, ruina""",120000,4.4,Primavera,"""Fortaleza medieval en la frontera con Rusia, ofreciendo una vista única del contraste histórico y geográfico."""
ESTONIA,Universidad de Tartu,"""ciudad, arquitectura, cultura, historia, educación""",100000,4.6,Todo el año,"""El centro intelectual y académico del país, con una arquitectura neoclásica impresionante en la segunda ciudad más grande."""
ESTONIA,Crater de Kaali (Saaremaa),"""geología, naturaleza, leyenda, cráter""",90000,4.3,Verano,"""Un grupo de nueve cráteres de meteorito, el más grande con un estanque, fuente de muchas leyendas locales."""
ESTONIA,Torre de Televisión de Tallin,"""monumento, ocio, vistas, ciudad""",250000,4.5,Todo el año,"""Estructura moderna que ofrece las vistas más altas de la ciudad, con un mirador y restaurante."""
ESTONIA,Reserva Natural de Soomaa,"""naturaleza, parque natural, pantano, aventura""",80000,4.8,Primavera,"""Famosa por sus vastos pantanos y la 'quinta estación', cuando las aguas de las inundaciones permiten navegar en canoa por el bosque."""
FINLANDIA,Aldea de Papá Noel (Rovaniemi),"""ocio, leyenda, ciudad, aventura, invierno""",500000,4.6,Invierno,"""El lugar oficial de residencia de Papá Noel, famoso por cruzar el Círculo Polar Ártico y enviar cartas."""
FINLANDIA,Suomenlinna (Helsinki),"""historia, arquitectura, patrimonio unesco, isla, fortaleza""",1000000,4.8,Verano,"""Impresionante fortaleza marítima e isla cerca de Helsinki, declarada Patrimonio de la UNESCO."""
FINLANDIA,Parque Nacional de Nuuksio,"""naturaleza, parque natural, bosque, lago, relax""",300000,4.7,Verano,"""Un oasis natural cerca de Helsinki, con bosques, lagos y senderos, ideal para el senderismo y desconexión."""
FINLANDIA,Distrito del Diseño de Helsinki,"""ciudad, arte, cultura, compras, arquitectura""",2000000,4.5,Todo el año,"""Una zona de Helsinki conocida por tiendas, galerías y estudios de diseño finlandés, incluyendo el Museo del Diseño."""
FINLANDIA,Aurora Boreal (Laponia),"""naturaleza, invierno, aventura, espectáculo natural""",300000,4.9,Invierno,"""Fenómeno natural espectacular visible en las zonas del norte, como Rovaniemi e Inari."""
FINLANDIA,Mercado de la Plaza (Kauppatori, Helsinki),"""ciudad, gastronomia, compras, cultura""",4000000,4.3,Verano,"""El mercado al aire libre más famoso de Helsinki, vendiendo productos frescos, artesanía y comida local."""
FINLANDIA,Antigua Rauma,"""pueblo, patrimonio unesco, arquitectura, madera""",150000,4.6,Primavera,"""Pueblo de madera bien conservado y el mayor centro urbano de madera nórdico, Patrimonio de la UNESCO."""
FINLANDIA,Parque Nacional Pallas-Yllästunturi,"""naturaleza, montaña, parque natural, invierno, bosque""",500000,4.7,Invierno,"""Uno de los parques nacionales más populares de Laponia, con rutas de esquí de fondo y oportunidades para la acampada."""
FINLANDIA,Lago Saimaa,"""naturaleza, lago, relax, aventura, fauna""",700000,4.5,Verano,"""El lago más grande de Finlandia, un laberinto de agua y un ecosistema vital, famoso por la foca anillada de Saimaa."""
FINLANDIA,Catedral de Uspenski (Helsinki),"""religion, arquitectura, monumento, ciudad""",600000,4.4,Todo el año,"""Impresionante catedral ortodoxa rusa en Helsinki, símbolo de los lazos históricos del país."""
FRANCIA,Torre Eiffel (París),"""monumento, arquitectura, ciudad, símbolo""",7000000,4.7,Todo el año,"""El monumento más icónico de París y una obra maestra de la ingeniería del siglo XIX, con vistas inigualables."""
FRANCIA,Museo del Louvre (París),"""museo, arte, historia, cultura, monumento""",9000000,4.9,Todo el año,"""El museo más visitado del mundo, famoso por albergar la Mona Lisa, la Venus de Milo y la Pirámide de cristal."""
FRANCIA,Palacio de Versalles,"""palacio, historia, arquitectura, jardín, patrimonio unesco""",8000000,4.8,Primavera,"""Antiguo palacio real, símbolo del poder absoluto, conocido por la Galería de los Espejos y sus vastos jardines."""
FRANCIA,Catedral de Notre Dame (París),"""religion, arquitectura, gótico, historia, monumento""",12000000,4.7,Todo el año,"""Una de las catedrales góticas más importantes del mundo, famosa por sus gárgolas y rosetones."""
FRANCIA,Mont Saint-Michel,"""monumento, medieval, historia, isla, arquitectura""",3500000,4.9,Primavera,"""Espectacular abadía e isla mareal en Normandía, uno de los sitios más reconocibles de Francia."""
FRANCIA,Catedral de Chartres,"""religion, arquitectura, gótico, patrimonio unesco""",1500000,4.6,Todo el año,"""Considerada la cumbre del arte gótico francés, famosa por la conservación casi perfecta de sus vidrieras medievales."""
FRANCIA,Castillo de Chambord (Valle del Loira),"""castillo, arquitectura, renacimiento, historia""",1000000,4.5,Verano,"""El castillo más grande y reconocido del Valle del Loira, famoso por su arquitectura renacentista y su escalera de doble hélice."""
FRANCIA,Disneyland París,"""parque tematico, ocio, aventura, ciudad""",15000000,4.4,Todo el año,"""El parque temático más popular de Europa, un destino familiar y de entretenimiento de alta afluencia."""
FRANCIA,Costa Azul (Niza, Cannes, Mónaco),"""playa, ciudad, relax, ocio, vida nocturna""",20000000,4.6,Verano,"""Línea costera del Mediterráneo conocida por sus resorts de lujo, playas y festivales de cine."""
FRANCIA,Palacio Papal de Aviñón,"""palacio, historia, religion, medieval, ciudad""",600000,4.5,Todo el año,"""Una de las fortalezas góticas medievales más grandes de Europa, donde residieron varios papas en el siglo XIV."""
GRECIA,Acrópolis de Atenas,"""arqueología, historia, monumento, patrimonio unesco, ciudad""",3500000,4.9,Primavera,"""La joya de la antigua Grecia, un conjunto de templos, incluyendo el Partenón, dominando la ciudad de Atenas."""
GRECIA,Meteora,"""religion, arquitectura, montaña, monasterio, patrimonio unesco""",2500000,4.8,Primavera,"""Impresionantes monasterios ortodoxos construidos sobre pilares de roca natural en Tesalia."""
GRECIA,Santorini (Oia),"""isla, playa, arquitectura, relax, atardecer""",2000000,4.9,Verano,"""Famosa isla volcánica del Egeo, conocida por sus casas blancas y azules, y las vistas del atardecer."""
GRECIA,Delfos (Delphi),"""arqueología, historia, ruina, religion, patrimonio unesco""",800000,4.7,Primavera,"""Antiguo santuario de Apolo, considerado el centro del mundo por los griegos y sede del Oráculo."""
GRECIA,Isla de Creta (Playa de Balos),"""isla, playa, naturaleza, relax""",1500000,4.6,Verano,"""La isla más grande de Grecia, conocida por sus variados paisajes y playas vírgenes, como la famosa laguna de Balos."""
GRECIA,Templo de Zeus Olímpico (Atenas),"""arqueología, historia, monumento, ruina, ciudad""",500000,4.4,Todo el año,"""Imponente templo dedicado al rey de los dioses, aunque hoy solo quedan unas pocas columnas en pie."""
GRECIA,Corfú (Ciudad Vieja),"""ciudad, historia, arquitectura, patrimonio unesco""",1200000,4.5,Verano,"""Ciudad con fuerte influencia veneciana, con dos fortalezas y un ambiente elegante, Patrimonio de la UNESCO."""
GRECIA,Canal de Corinto,"""monumento, ingeniería, ocio""",700000,4.3,Todo el año,"""Espectacular canal excavado en la roca que conecta el Golfo de Corinto con el Mar Egeo, una hazaña de ingeniería."""
GRECIA,Monte Athos,"""religion, monasterio, montaña, arquitectura""",10000,4.8,Todo el año,"""Península y estado monástico autónomo. Acceso muy restringido, famoso por sus monasterios aislados."""
GRECIA,Teatro de Epidauro,"""arqueología, historia, teatro, patrimonio unesco""",400000,4.7,Primavera,"""Famoso por su acústica casi perfecta, es el teatro griego antiguo mejor conservado y aún se utiliza para representaciones."""
HUNGRÍA,Parlamento de Budapest,"""monumento, arquitectura, historia, política, ciudad""",700000,4.9,Todo el año,"""Impresionante edificio neogótico a orillas del Danubio, sede de la Asamblea Nacional de Hungría."""
HUNGRÍA,Balneario Széchenyi (Budapest),"""relax, ocio, aguas termales, arquitectura, salud""",1800000,4.6,Todo el año,"""El complejo de baños termales más grande de Europa, famoso por sus piscinas exteriores y arquitectura neobarroca."""
HUNGRÍA,Castillo de Buda (Budapest),"""castillo, palacio, historia, patrimonio unesco, ciudad""",2000000,4.7,Primavera,"""Antigua residencia de los reyes de Hungría, domina el perfil de la ciudad y alberga museos como la Galería Nacional."""
HUNGRÍA,Bastión de los Pescadores (Budapest),"""arquitectura, historia, medieval, vistas, ciudad""",3000000,4.8,Todo el año,"""Terraza neogótica y neorrománica con siete torres que ofrecen las mejores vistas panorámicas del Parlamento."""
HUNGRÍA,Avenida Andrássy (Budapest),"""arquitectura, patrimonio unesco, compras, ciudad""",4000000,4.5,Todo el año,"""Avenida icónica que conecta la Plaza de los Héroes con el centro de la ciudad, repleto de palacios y teatros."""
HUNGRÍA,Lago Balaton,"""lago, relax, playa, ocio, naturaleza""",5000000,4.4,Verano,"""El lago más grande de Europa Central, a menudo llamado el 'Mar Húngaro', un destino popular de verano y relax."""
HUNGRÍA,Gran Sinagoga (Budapest),"""religion, arquitectura, historia, monumento""",500000,4.7,Todo el año,"""La sinagoga más grande de Europa y la segunda más grande del mundo, con un importante museo conmemorativo."""
HUNGRÍA,Cueva de Aggtelek (Parque Nacional),"""cueva, parque natural, geología, patrimonio unesco, naturaleza""",150000,4.6,Todo el año,"""Vasto sistema de cuevas kársticas, compartido con Eslovaquia, declarado Patrimonio de la UNESCO."""
HUNGRÍA,Basílica de San Esteban (Budapest),"""religion, arquitectura, monumento, ciudad""",1000000,4.5,Todo el año,"""Impresionante basílica neoclásica que alberga la reliquia más sagrada de Hungría, la Mano Derecha de San Esteban."""
HUNGRÍA,Hortobágy (Parque Nacional),"""naturaleza, parque natural, fauna, rural""",100000,4.3,Primavera,"""La puszta húngara (estepa), un vasto parque nacional famoso por sus tradiciones de pastoreo y su fauna salvaje."""
IRLANDA,Acantilados de Moher,"""naturaleza, geología, acantilado, aventura, paisaje""",1500000,4.9,Primavera,"""Impresionantes acantilados de 214 metros de altura en la costa del condado de Clare, el sitio natural más visitado de Irlanda."""
IRLANDA,Guinness Storehouse (Dublín),"""gastronomia, ocio, museo, ciudad""",1700000,4.6,Todo el año,"""La atracción más visitada de Dublín, un museo interactivo sobre la historia de la famosa cerveza Guinness, con bar panorámico."""
IRLANDA,The Ring of Kerry,"""naturaleza, carretera escénica, paisaje, pueblo""",2000000,4.8,Verano,"""Famosa ruta circular panorámica por la península de Iveragh, con vistas costeras, lagos y pueblos pintorescos."""
IRLANDA,Book of Kells y Trinity College,"""museo, historia, cultura, educación, arquitectura""",1200000,4.7,Todo el año,"""Exposición del manuscrito medieval ilustrado más famoso de Irlanda, ubicada en la espectacular Antigua Biblioteca del Trinity College."""
